"","ID1","party_member","coal_id","event_factor","SRI_bi_z","index_5m_bi_z","gmdur_index_z","gm_yn_bi","kinship","period","party_size_fem_z","immdyad","ranksumbi_z"
"1056","TG","OT","2017-11-21_8:40:00","0",0.91347820034693,0.281775199380278,-0.208182706240654,"Y","0","D",0.134816131158751,"0",-1.20582296732546
"1057","TG","QT","2017-11-21_8:40:00","0",0.228450872631684,0.246310423459048,-0.244844131845214,"N","0","D",0.134816131158751,"0",-1.57446534243256
"1058","TG","WL","2017-11-21_8:40:00","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",0.134816131158751,"0",-2.0432785749622
"1059","WL","AL","2017-11-21_8:40:01","0",0.422973222573883,0.368230199190813,-0.196874206800441,"Y","0","D",0.134816131158751,"0",-1.47084018989096
"1060","WL","DL","2017-11-21_8:40:01","0",0.967379757697653,-0.203358781609637,-0.196513530672285,"Y","0","D",0.134816131158751,"1",-0.831855594417921
"1061","WL","FS","2017-11-21_8:40:01","0",1.28794299582085,0.937265543442638,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.144419414974847
"1062","WL","JU","2017-11-21_8:40:01","0",0.188276703630146,-0.84501181101177,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.802473356396701
"1063","WL","ML","2017-11-21_8:40:01","0",-0.144008217208171,-0.104564832949254,-0.18381910061737,"Y","0","D",0.134816131158751,"0",-1.15748134081091
"1064","WL","NP","2017-11-21_8:40:01","0",0.00516336271519573,0.635851862221843,-0.244844131845214,"N","0","D",0.134816131158751,"0",-0.205758267473763
"1065","WL","OT","2017-11-21_8:40:01","0",0.170283207450401,0.393798010732221,-0.244844131845214,"N","0","D",0.134816131158751,"0",-1.02566420539039
"1066","WL","TG","2017-11-21_8:40:01","0",0.0995875634038561,0.965217710637292,-0.175143252804255,"Y","0","D",0.134816131158751,"0",-2.0432785749622
"1067","WL","AL","2017-11-21_9:14:00","0",0.422973222573883,0.368230199190813,-0.196874206800441,"Y","0","D",0.134816131158751,"0",-1.47084018989096
"1068","WL","DL","2017-11-21_9:14:00","0",0.967379757697653,-0.203358781609637,-0.196513530672285,"Y","0","D",0.134816131158751,"1",-0.831855594417921
"1069","WL","FS","2017-11-21_9:14:00","0",1.28794299582085,0.937265543442638,-0.244844131845214,"N","0","D",0.134816131158751,"1",-0.144419414974847
